Keyword,Category,Timestamp
prompt call back,Resolution Time,
action taken immediately,Resolution Time,
license available,Technical Proficiency,
time,Resolution Time,
long time resolve,Resolution Time,
taken resolve issue,Technical Proficiency,
thomas excellenot job,Technical Proficiency,
took days,Resolution Time,
replace battery work,Technical Proficiency,
repair similar pace,Technical Proficiency,
removal role multiple,Technical Proficiency,
rca not found,Technical Proficiency,
reached complete week,Resolution Time,
remote taken analysed,Technical Proficiency,
read respond emails,Technical Proficiency,
reasonable period time,Resolution Time,
remote solved additional,Technical Proficiency,
remote access not,Technical Proficiency,
reminder phone calls,Technical Proficiency,
related microsoft restructuring,Technical Proficiency,
reboot servers resulted,Technical Proficiency,
report zscaler error,Technical Proficiency,
quick resolution provided,Resolution Time,
quick response complete,Resolution Time,
quick response engaged,Resolution Time,
quick response helpdesk,Resolution Time,
quick response service,Resolution Time,
quick turn time,Resolution Time,
quickly got feedback,Resolution Time,
quickly not downotime,Resolution Time,
quickly not understand,Resolution Time,
resolution not explained,Technical Proficiency,
resolving time killing,Resolution Time,
fix issue told,Technical Proficiency,
fix took majority,Technical Proficiency,
fixed computer quickly,Technical Proficiency,
fixed probably related,Technical Proficiency,
fixed problem straight,Technical Proficiency,
install right package,Technical Proficiency,
great service,Overall Support Feedback,
resolved,Overall Support Feedback,
good support team,Overall Support Feedback,
frustrating systems,Overall Support Feedback,
Excellent,Overall Support Feedback,
appropriate steps taken,Technical Proficiency,2020-11-11 10:46:40.378728
