feedback,status
Everything was perfect,positive
very supportive,positive
nice help and expertise,positive
I chatted online and received very prompt responses and good information.,positive
Very friendly and helpful!,positive
supportive.,positive
"Very helpful indeed and had the time and patience to deal with my queries and my ignorance with great helpfulness and direction.
Seriously well appreciated
thank you",positive
"I liked the positive attitude, keep it up! :)",positive
"Very prompt support with high knowledge of how to track & resolve.
So efficient and release user to get back to work !
Happy with IT team , always",positive
Everything fast and efficient,positive
"No suggestions, I always have great service and my issues are resolved promptly. Thank you",positive
Amazed at the quick response and ability to pinpoint the problem right away.,positive
Good Response,positive
Got the help I need in a timely manner.,positive
Very quick response and fixed my immediate problem as well as resolving the ongoing issue for the future.  Thanks very much,positive
Quick help and guidance to resolve the issue,positive
My issue was solved quickly.,positive
Extremely knowledgeable and patient. Resolved my issue within 10 minutes or less.,positive
Excelent attention,positive
I`m very pleased!,positive
very quick response - very efficient approach,positive
Helped very much to login at mobile  app.,positive
I received a prompt and helpful response. This is a very useful chatbot. Thank you,positive
My request was completely fulfilled. Thank you very much,positive
Really Great Chatbot support!,positive
Very friendly and helpful!,positive
One thing I could surely say- Chatbot support is nice.,positive
Great service and assistance!,positive
"Chatbot, the first level support was not able to help with my question.
There was only a direction to an Email address. ",negative
"Chatbot needs to be fed with more data to be able to solve issues , specially mine. Bot could not understand me.",negative
IT Bot is lacking maturity in its knowledge. Why it is not trained to the level of agents,negative
Chatbot was close to find a solution to my problem. It do not provide complete answers though.,negative
Even though chatbot was nice but could not see an option for increasing my priority level.,positive
Chatbot is good to resolve the issue. Wonder if we are also provided with a copy of  chat  for reference.,positive
The process of actually connecting with a technician within a chat is  time taking. I will suggest to have a once click button or direct immediate option to get connected to the technician.,positive
Can I also reach Skype Bot assistant via my teams account?,positive
"Whenever I try to reach helpdesk via Chatbot's phone line, the voice is not clear. I could not hear anything.",negative
I am never able to ping the bot. it always keeps on asking me to retry.,negative
many times I am not able to find the Bot contact at all in the skype window.,negative
Bot keeps on creating multiple tickets for me for the same conversation.,negative
no agents available in bot- waiting time very long,negative
Service agent  closed the ticket without resolving. I am suffering daily from a very bad network connection and contacted the helpdesk  via Skype chat.,negative
"I had an issue which needed to be addressed immediately. I tried the chatbot option from the skype. It connected me to an agent who in turn asked me to wait for 2 hours, which was unacceptable.",negative
"I try for 2 hours to talk to a human, after having a conversation with the bot, but did not suceed ",negative
nothing worked after my contact to helpdesk,negative
What can I tell you?  Nothing was resolved and I wasn't contacted to be helped out.  I could not contact anyone and the chat bot simply told me my issue was closed as  a result of no one being available.,negative
my issue is not resolved after 2 weeks and my ticket was closed,negative
Worthless IT support helpdesk. Chatbot is a garbage and Live agents are of no use!,negative
"The colleagues at the global help desk are trying very hard to help. But nevertheless, from my point of view, it is very difficult to have no local support anymore",negative
"I used the Chat option for the first time to resolve my issue and was very pleased!! Really great. Thanks!!  I have a quick question though, Can scheduling meeting be incorporated in this Chatbot as a feature?",negative
Issue was not resolved.  Order was cancelled with no explanation,negative
The person was supportive but system was not working even after changing 4 digit pins all the time.,negative
Thanks for the agent's patience!,positive
Chat support concept through a bot in itself helpful while doing any other work. But unfortunately it has very less knowledge.,negative
"This Chatbot is very helpful, only if it could be enhanced to be more user appealing.",positive
my issue is not resolved after 2 weeks and my ticket was closed,negative
This skype chatbot service is very helpful to open a ticket but unfortunately not resolve the PI issue. Can this bot support to fix the problem besides open the ticket.,positive
This chatbot has a meager knowledge to resolve my Skype issue. really dissapointed.,negative
Bot is intelligent and easy to use. All I can say it could be improved though by making it voice enabled.,positive
I appreciate your support in general. But Helpdesk Chatbot don't provide the answer I want,negative
Chatbot is good to resolve the issue. I also liked  if we were also provided with chat transcript.,negative
"The Chatbot service is ok, but the response  is too slow. ",negative
This Skype Bot never works for me. Its service seems down always.,negative
"Can't say much, but knowledge is an issue with the bot.",negative
Reading answers through links outside chat window is difficult. Can the Bot present direct answers inside the chhat window itself.,negative
